t;service-gw;service-a;service-b
0;1000;0;200
2;1020;0;200
4;1040;0;200
6;1060;0;200
8;1080;0;200
10;1100;0;200
12;1120;0;200
14;1140;0;200
16;1160;0;200
18;1180;0;200
20;1200;0;200
22;1220;0;200
24;1240;0;200
26;1260;0;200
28;1280;0;200
30;1300;0;300
32;1320;0;400
34;1340;0;500
36;1360;0;600
38;1380;0;700
40;1400;0;800
42;1420;0;900
44;1440;0;1000
46;1460;0;1100
48;1480;0;1200
50;1500;0;1300
52;1520;0;1400
54;1540;0;1500
56;1560;0;1600
58;1580;0;1700
60;1600;0;1800
62;1620;0;1700
64;1640;0;1600
66;1660;0;1500
68;1680;0;1400
70;1700;0;1300
72;1720;0;1200
74;1740;0;1100
76;1760;0;1000
78;1780;0;900
80;1800;0;800
82;1820;0;700
84;1840;0;600
86;1860;0;500
88;1880;0;400
90;1900;0;300
92;1920;0;200
94;1940;0;200
96;1960;0;200
98;1980;0;200
100;2000;0;200
102;2020;0;200
104;2040;0;200
106;2060;0;200
108;2080;0;200
110;2100;0;200
112;2120;0;200
114;2140;0;200
116;2160;0;200
118;2180;0;200
120;2200;0;200
