t (min);service-gw;service-a;service-b
0;1000;0;200
2;1020;0;200
4;1040;0;200
6;1060;0;200
8;1080;0;200
10;1100;0;200
12;1120;0;200
14;1140;0;200
16;1160;0;200
18;1180;0;200
20;1200;0;200
22;1220;0;300
24;1240;0;400
26;1260;0;500
28;1280;0;600
30;1300;0;700
32;1320;0;800
34;1340;0;900
36;1360;0;1000
38;1380;0;1100
40;1400;0;1200
42;1420;0;1300
44;1440;0;1400
46;1460;0;1500
48;1480;0;1600
50;1500;0;1700
52;1520;0;1800
54;1540;0;1900
56;1560;0;2000
58;1580;0;2100
60;1600;0;2200
62;1620;0;2300
64;1640;0;2400
66;1660;0;2500
68;1680;0;2400
70;1700;0;2300
72;1720;0;2200
74;1740;0;2100
76;1760;0;2000
78;1780;0;1900
80;1800;0;1800
82;1820;0;1700
84;1840;0;1600
86;1860;0;1500
88;1880;0;1400
90;1900;0;1300
92;1920;0;1200
94;1940;0;1100
96;1960;0;1000
98;1980;0;900
100;2000;0;800
102;2020;0;700
104;2040;0;600
106;2060;0;500
108;2080;0;400
110;2100;0;300
112;2120;0;200
114;2140;0;200
116;2160;0;200
118;2180;0;200
120;2200;0;200
