t (min);service-gw;service-a;service-b
0;1000;0;200
2;1020;0;200
4;1040;0;200
6;1060;0;200
8;1080;0;200
10;1100;0;200
12;1120;0;200
14;1140;0;200
16;1160;0;200
18;1180;0;200
20;1200;0;300
22;1220;0;400
24;1240;0;500
26;1260;0;600
28;1280;0;700
30;1300;0;800
32;1320;0;900
34;1340;0;1000
36;1360;0;1100
38;1380;0;1200
40;1400;0;1300
42;1420;0;1400
44;1440;0;1500
46;1460;0;1600
48;1480;0;1700
50;1500;0;1800
52;1520;0;1900
54;1540;0;2000
56;1560;0;2100
58;1580;0;2200
60;1600;0;2300
62;1620;0;2200
64;1640;0;2100
66;1660;0;2000
68;1680;0;1900
70;1700;0;1800
72;1720;0;1700
74;1740;0;1600
76;1760;0;1500
78;1780;0;1400
80;1800;0;1300
82;1820;0;1200
84;1840;0;1100
86;1860;0;1000
88;1880;0;900
90;1900;0;800
92;1920;0;700
94;1940;0;600
96;1960;0;500
98;1980;0;400
100;2000;0;300
102;2020;0;200
104;2040;0;200
106;2060;0;200
108;2080;0;200
110;2100;0;200
112;2120;0;200
114;2140;0;200
116;2160;0;200
118;2180;0;200
120;2200;0;200
